数据包编号：1 总耗时：157 裁剪：45 旋转：32 toYUV420：12 编码：68
数据包编号：2 总耗时：74 裁剪：29 旋转：25 toYUV420：10 编码：10
数据包编号：3 总耗时：56 裁剪：26 旋转：16 toYUV420：6 编码：8
数据包编号：4 总耗时：48 裁剪：20 旋转：15 toYUV420：6 编码：7
数据包编号：5 总耗时：49 裁剪：21 旋转：15 toYUV420：7 编码：6
数据包编号：6 总耗时：48 裁剪：21 旋转：14 toYUV420：7 编码：6
数据包编号：7 总耗时：50 裁剪：20 旋转：15 toYUV420：8 编码：7
数据包编号：8 总耗时：51 裁剪：23 旋转：15 toYUV420：6 编码：7
数据包编号：9 总耗时：49 裁剪：21 旋转：15 toYUV420：7 编码：6
数据包编号：10 总耗时：49 裁剪：21 旋转：15 toYUV420：6 编码：7
数据包编号：11 总耗时：48 裁剪：21 旋转：14 toYUV420：6 编码：7
数据包编号：12 总耗时：47 裁剪：19 旋转：15 toYUV420：7 编码：6
数据包编号：13 总耗时：49 裁剪：22 旋转：15 toYUV420：6 编码：6
数据包编号：14 总耗时：49 裁剪：22 旋转：15 toYUV420：6 编码：6
数据包编号：15 总耗时：50 裁剪：22 旋转：15 toYUV420：7 编码：6
数据包编号：16 总耗时：48 裁剪：22 旋转：15 toYUV420：6 编码：5
数据包编号：17 总耗时：54 裁剪：28 旋转：15 toYUV420：6 编码：5
数据包编号：18 总耗时：47 裁剪：20 旋转：14 toYUV420：6 编码：7
数据包编号：19 总耗时：53 裁剪：22 旋转：15 toYUV420：6 编码：10
数据包编号：20 总耗时：65 裁剪：21 旋转：15 toYUV420：6 编码：23
数据包编号：21 总耗时：52 裁剪：22 旋转：14 toYUV420：7 编码：9
数据包编号：22 总耗时：44 裁剪：16 旋转：16 toYUV420：6 编码：6
数据包编号：23 总耗时：43 裁剪：16 旋转：15 toYUV420：6 编码：6
数据包编号：24 总耗时：49 裁剪：22 旋转：14 toYUV420：7 编码：6
